mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
59.7828,0.1059,96.0223,6.616,521.8821,25.4542,1742.1938,800.3355
128.9864,0.4643,251.1565,13.291,521.6372,2.9863,1728.189,626.2765
260.2988,0.1017,377.3777,5.5595,566.3475,10.1449,1489.3464,266.7471
295.2293,1.4344,471.3377,8.4508,551.1052,9.1131,1478.8485,355.2251
292.0846,6.0583,309.6033,2.7878,507.3767,55.9121,1584.0805,353.8831
333.5919,2.0915,444.1009,0.8614,649.4332,3.4432,1533.0598,331.1049
404.1867,3.2985,465.9132,5.5442,703.3293,61.5132,1562.7322,371.6399
241.3122,1.9846,302.9633,5.5893,387.8115,1.1991,1495.5676,311.0725
368.5149,1.7436,553.4244,33.7842,583.1684,162.1091,1389.5669,234.2541
316.6956,2.2346,447.0156,3.9235,564.7755,22.9984,1448.8464,232.9603
112.8768,0.1007,253.1711,5.8226,542.4425,4.5691,1716.2308,695.5405
276.179,0.656,437.1917,0.6079,513.1978,3.8643,1490.8378,337.7466
357.946,2.6646,472.7103,10.0648,646.1541,24.7385,1442.3075,251.087
184.6975,104.0156,245.6913,29.7426,389.9041,0.2392,1512.913,288.0365
389.4657,1.351,418.3191,3.8196,692.6296,26.2195,1542.6242,331.279
250.8786,5.6692,332.0819,0.5638,553.4168,10.8355,1659.4673,914.1553
95.9242,0.2959,204.8082,31.9296,527.2853,21.3335,1701.5,751.8727
290.6927,1.4241,442.5638,9.9635,581.3969,68.6366,1488.8504,325.2707
219.0246,1.8985,346.6416,48.5991,446.9055,11.6951,1416.9868,336.919
241.8171,2.637,326.5403,4.5624,416.8208,5.8788,1525.757,484.8609
126.8973,6.483,290.7118,2.9311,536.6292,14.0014,1668.2359,182.9154
77.6197,2.4517,130.6982,6.9482,482.2457,17.4901,1731.8096,880.0054
245.177,9.1547,319.3253,1.467,555.6895,22.0686,1652.3118,924.3093
311.7492,20.1664,511.4339,37.212,625.9937,27.1528,1446.4698,393.5322
361.5198,1.7548,417.161,5.1946,685.1552,11.4441,1573.1788,365.2556
159.9401,0.3551,240.1914,7.0479,434.0371,2.5701,1594.5437,345.8207
296.7857,3.7583,469.1503,0.9585,574.7059,12.9496,1491.5691,318.6385
328.5318,1.6367,450.673,3.464,659.9494,8.553,1533.3753,330.6747
330.2017,4.9447,446.8887,20.7847,671.7681,24.7994,1551.6591,322.005
334.5308,6.8941,399.6636,62.1023,662.0068,6.5094,1566.7386,321.8261
297.8101,2.1529,403.813,19.9326,568.9856,118.9971,1564.2382,296.206
134.2352,2.3852,308.3298,13.2797,520.4172,0.7858,1565.7221,323.8524
325.4986,18.364,359.6253,2.5971,617.8111,2.7111,1398.9384,276.0026
239.5794,4.9136,354.7084,24.1556,400.3288,34.7999,1634.4647,358.8017
219.7323,16.3426,381.2855,4.0833,559.1499,60.731,1590.8753,499.9831
283.4205,5.839,380.696,8.1056,626.3645,15.8667,1473.7482,318.3368
311.4264,6.3957,345.0896,1.9985,622.919,1.4569,1484.4545,253.5665
59.9405,5.6178,146.626,4.7492,523.6742,17.4134,1740.4526,794.6379
339.8052,2.2119,508.5958,3.2173,654.4707,7.4316,1463.208,263.2265
100.5714,0.2337,263.6385,4.3554,566.5288,8.5195,1736.4719,759.3025
174.7755,1.8611,306.0554,4.536,580.4676,0.6567,1700.3812,715.4578
131.4289,1.8264,204.9329,4.7914,439.5428,15.3978,1691.8053,1191.7379
327.7481,1.6699,362.3319,19.709,577.282,11.6766,1482.1261,327.3558
258.6231,9.4096,355.1724,6.5243,629.2844,1.7048,1449.0264,300.2891
