mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
127.1679,1.4954,206.6146,1.1152,327.9247,7.0962,1294.6168,343.4665
342.3308,6.1681,369.2286,2.2297,517.1497,19.49,691.5255,42.77
208.6243,4.5152,318.8386,4.8555,526.919,6.721,990.2347,368.3489
335.2312,12.9996,375.5822,34.378,553.7653,18.3992,973.8658,159.2319
237.8255,1.497,341.8944,74.6746,603.3402,12.4158,851.8705,271.0819
176.877,28.3447,311.0198,1.3945,402.7519,26.696,1007.5915,224.6215
127.2209,0.0665,288.9842,0.0099,325.6368,0.1914,1424.2256,27.9398
145.6489,1.7695,226.991,0.5271,367.5742,6.5766,1294.7729,226.6391
227.3147,0.9615,437.636,4.0958,623.4113,2.522,897.4923,83.8197
202.992,7.3197,290.8989,1.7937,392.7574,3.2478,1122.2098,219.7465
295.4884,5.3065,347.142,140.4375,425.7757,3.3679,827.1958,175.2103
357.0517,4.3667,374.6825,11.3749,528.5331,21.4359,825.4251,69.6659
303.411,13.8214,380.7062,5.9944,532.6124,26.9499,840.5779,143.5295
208.8243,13.2229,352.1292,4.0409,431.3521,209.1843,852.0366,797.464
180.2908,2.2512,242.4787,6.837,521.5126,23.7725,720.0706,347.2513
103.2851,3.3679,218.4155,2.0212,288.12,3.5211,1297.8649,674.0163
224.6539,3.7129,369.4811,1.212,470.56,1.9477,898.2842,62.445
186.8446,1.3175,371.3778,7.8099,550.3048,20.6322,954.2867,114.0209
372.5338,9.1359,420.7047,8.0801,552.9541,1.0227,765.198,35.714
340.1167,3.2203,375.0224,2.3888,457.5044,13.763,846.5281,59.5535
242.6351,4.4962,326.7125,6.9797,549.784,36.4637,994.5061,155.8227
302.6954,1.6248,411.6896,15.1781,452.7275,13.0397,843.3791,65.6398
169.6619,12.1067,288.6861,22.4512,555.2517,22.097,929.5487,180.9274
139.7002,0.2894,163.9116,1.3307,330.5737,3.3334,1215.7735,259.1923
368.7183,9.0257,455.8241,6.1076,490.305,18.4071,855.1581,47.3555
221.0158,1.985,261.311,0.2329,493.4701,5.2464,942.961,178.8728
167.4528,1.1195,246.6082,4.2177,410.5743,17.3427,1046.1115,130.2078
110.8848,1.7162,209.1032,0.8085,321.1128,1.9648,1354.0264,267.4635
185.0649,19.5356,261.139,3.935,414.4882,9.668,955.7418,362.3636
268.6607,2.8136,321.451,0.2657,470.6299,2.2372,1030.9414,112.3128
185.7303,10.0097,257.2735,28.4988,386.7318,45.143,925.0025,223.3653
202.0115,3.8842,271.3369,5.9914,477.9073,6.4501,1078.8187,246.8889
124.7258,0.0732,285.616,0.1139,335.5878,0.4728,1428.9712,33.9848
347.3043,8.3301,378.6339,8.0691,430.8852,5.008,685.3543,77.4876
197.3432,1.2047,302.8922,8.9063,554.7711,16.4012,958.1977,126.2664
239.1333,1.5694,377.1302,11.0883,534.9556,10.594,848.3868,66.8283
201.5367,100.6541,255.0484,4.1718,406.4363,29.0966,754.8691,1839.4212
247.3652,0.2296,416.6305,4.0871,612.0363,8.9815,931.1774,77.1584
233.194,37.2652,366.9783,4.3323,541.2794,23.6702,731.6537,174.9243
222.5085,0.6209,347.1774,1.6216,483.5534,3.3539,956.7199,80.0408
143.0936,0.1481,300.4047,0.0654,342.1904,0.4646,1381.6335,42.9521
140.4466,0.0118,292.5012,0.0393,341.6574,0.3806,1393.2625,65.6229
181.5947,0.1245,292.9706,45.5383,537.0637,7.5045,941.232,252.6634
268.3288,3.5253,310.2536,5.9772,535.9459,15.6362,907.162,201.5511
234.252,1.0713,259.1173,22.8216,479.0135,8.2537,965.0144,187.9081
190.8089,16.0943,331.1971,4.6488,483.999,0.1523,979.24,143.3546
164.0987,1.4508,269.9415,0.0258,391.731,3.3394,1301.6555,172.7916
177.784,1.5212,284.0719,3.8771,486.695,5.8257,1026.233,111.8601
216.5542,5.639,305.5609,7.2311,511.2723,7.4438,947.5806,264.2694
236.6923,16.0762,283.7804,0.5185,486.5335,0.2761,1017.6604,191.4995
280.0732,64.7507,341.9278,1.2222,419.4439,0.9434,895.0481,116.1437
195.1432,3.1507,244.9496,4.9388,297.2074,2.9185,1175.6021,396.4291
171.0448,6.7341,287.3376,3.5339,485.9376,16.0622,976.7763,172.1164
234.4775,0.1038,437.3811,26.338,574.0291,81.355,980.761,66.8722
214.7056,4.9503,310.7785,5.8473,386.8458,19.4606,1104.8853,256.3888
242.1856,1.4541,327.9557,1.9903,529.8997,2.5044,959.5225,205.7251
200.1179,7.344,222.8156,11.6123,379.2116,18.1718,976.222,220.9505
270.9644,3.2639,355.7244,5.3373,507.7269,6.3015,863.0423,120.2277
264.9634,19.7524,385.8953,6.8264,558.3881,26.8685,855.9469,78.2173
261.9319,15.5728,276.8685,15.326,464.9104,2.3109,908.5628,281.9996
230.6053,3.7597,418.9768,5.7714,570.0617,10.3098,976.2747,115.0844
233.9744,26.6988,322.4187,0.3507,451.3859,3.3745,1062.0304,167.6841
79.9597,3.5919,219.4081,1.0967,311.0158,1.1708,1325.162,524.2496
219.5399,4.2333,384.6653,11.5629,584.0244,20.8922,923.1267,183.611
200.7334,0.7456,367.1757,4.6387,577.7622,8.6479,938.5888,147.2952
207.2599,4.7912,341.8542,3.402,528.1967,6.9422,1010.2184,184.2003
226.5016,1.3631,373.5116,5.1504,594.9086,4.3759,896.3522,84.731
287.469,1.0389,335.4163,0.2386,458.1551,2.044,709.2538,42.4915
210.8607,6.8238,280.7633,3.5825,487.9922,1.8125,1069.7815,175.1509
228.8821,4.1217,255.8371,9.2286,567.5634,7.5451,826.0125,174.606
181.5894,0.4008,226.9189,0.9684,404.5533,21.5293,1080.7974,268.4482
198.3811,0.5379,343.514,11.7942,556.1712,14.1276,971.1038,144.8006
234.0245,20.2517,269.0587,0.3908,409.9986,34.9309,945.0534,874.525
354.4557,10.8042,418.9006,18.3443,540.5075,11.0023,766.0276,47.8475
240.0292,6.4125,313.8106,0.4473,457.5192,6.7191,1042.8669,120.5455
219.4548,0.5122,344.2113,6.1225,573.5348,2.2771,968.0113,38.9449
223.5076,1.6639,367.8552,5.5028,559.4388,29.2638,917.353,82.8622
158.2719,0.0008,298.1825,0.1198,363.8286,0.4479,1379.708,41.7913
139.2613,11.4044,222.6993,9.9746,388.1853,23.9316,1017.6502,224.9352
158.652,0.9929,212.4607,3.6879,437.9274,1.4499,1103.4812,259.3958
237.1913,1.9509,320.0089,5.4741,419.5356,7.6455,1027.6626,88.9724
210.6433,37.054,271.5987,1.8591,451.5233,4.0622,829.7136,381.0878
150.8883,8.9332,224.7346,27.4329,320.2085,32.2558,1161.5336,493.2505
