,charge transfer/e-
786,0.136643
787,-0.099778
788,0.079941
789,-0.045858
790,0.043344
791,0.16183
792,0.02415
793,-0.00269
794,-0.137472
795,0.166593
796,-0.102507
797,-0.046453
798,0.055727
799,0.064084
800,-0.155653
801,0.077206
802,-0.095972
803,-0.015496
804,-0.056417
805,-0.180308
806,0.098757
807,-0.03092
808,0.035843
809,-0.114916
810,-0.078563
811,0.071347
812,0.055433
813,0.059824
814,0.030867
815,0.054359
816,0.05278
817,-0.028389
818,0.09348
819,-0.100363
820,0.083083
821,0.047927
822,-0.093538
823,0.003252
824,-0.074816
825,0.059757
826,-0.027872
827,-0.048725
828,-0.161221
829,0.003538
830,-0.030179
831,0.048872
832,-0.116721
833,0.054251
834,0.072674
835,0.066062
836,-0.0718
837,-0.08745
838,-0.064503
839,-0.005559
840,-0.141627
841,-0.045757
842,-0.073818
843,0.172708
844,-0.003919
845,-0.070889
846,0.045436
847,0.050665
848,0.066953
849,0.061898
850,0.021858
851,0.068513
852,-0.012464
853,0.062629
854,-0.052126
855,0.143349
856,0.020383
857,-0.059712
858,0.034255
859,0.078384
860,-0.088446
861,0.15116
862,0.019885
863,0.052911
864,0.075797
865,-0.112221
866,-0.144502
867,-0.125173
868,0.019869
869,-0.112031
870,0.073317
871,0.033337
872,-0.126228
873,0.037095
874,0.027151
875,0.073567
876,0.056264
877,0.065874
878,-0.140252
879,-0.013852
880,0.176723
881,0.057187
882,-0.094248
883,-0.110004
884,-0.021756
885,-0.147652
886,-0.079249
887,-0.176497
888,0.049567
889,-0.070532
890,-0.131542
891,-0.019312
892,0.08236
893,-0.066818
894,-0.030037
895,0.073548
896,-0.043421
897,-0.071223
898,0.023623
899,-0.025185
900,0.146964
901,0.020748
902,-0.103436
903,-0.047971
904,0.043329
905,-0.065921
906,0.150061
907,0.137731
908,0.027549
909,-0.004113
910,-0.144934
911,0.016595
912,0.037092
913,-0.061344
914,-0.056974
915,0.090219
916,-0.067173
917,-0.008893
918,-0.106706
919,0.070815
920,0.068891
921,0.038827
922,0.022815
923,-0.046165
924,0.038122
925,0.011787
926,0.033314
927,0.032363
928,0.039413
929,-0.08764
930,-0.038
931,0.153002
932,-0.008047
933,-0.118441
934,-0.099051
935,0.139991
936,0.014546
937,-0.09589
938,-0.101403
939,-0.087739
940,-0.011809
941,-0.025066
942,-0.032605
943,0.088204
944,-0.072724
945,0.051944
946,-0.105315
947,0.177537
948,0.010536
949,-0.07273
950,0.063895
951,0.023591
952,-0.105672
953,-0.033136
954,0.090865
955,-0.130391
956,-0.056619
957,0.08717
958,-0.14525
959,0.057706
960,-0.049478
961,0.031823
962,0.067063
963,-0.113394
964,0.064101
965,-0.043406
966,0.051468
967,0.086441
968,0.070186
969,0.147838
970,-0.01921
971,0.04581
972,-0.067832
973,0.071642
974,0.0742
975,0.062138
976,-0.080523
977,-0.050006
978,-0.095851
979,0.173868
980,-0.061867
981,-0.051615
982,-0.087533
983,0.038509
984,0.136701
985,-0.035234
986,-0.075354
987,0.042981
988,-0.014365
989,-0.05033
990,0.019171
991,0.079866
992,-0.028838
993,-0.059674
994,0.179464
995,0.073616
996,0.085564
997,0.035518
998,0.058277
999,0.072243
1000,0.076054
1001,0.052247
1002,-0.069707
1003,0.058142
1004,0.002994
1005,0.07721
1006,-0.059881
1007,-0.091735
1008,-0.179039
1009,0.16915
1010,0.142245
1011,0.18555
1012,-0.056233
1013,-0.092729
1014,-0.100774
1015,-0.069426
1016,0.074502
1017,0.051235
1018,-0.108276
1019,0.080774
1020,0.017008
1021,-0.054561
1022,0.045689
1023,0.14317
1024,0.049831
1025,0.143826
1026,-0.168199
1027,0.025749
1028,-0.0826
1029,0.020653
1030,0.16323
1031,-0.071779
1032,0.048798
1033,0.045871
1034,-0.017002
1035,-0.18707
1036,0.074933
1037,-0.053791
1038,-0.11825
1039,0.06172
1040,-0.069785
1041,0.070391
1042,-0.019855
1043,0.061139
1044,0.021943
1045,0.149236
1046,0.058958
1047,-0.063476
1048,-0.046087
1049,0.067294
1050,0.045242
1051,-0.013954
1052,0.050787
1053,-0.027222
1054,0.016227
1055,-0.000383
1056,0.035435
1057,0.053781
1058,0.029337
1059,0.038323
1060,-0.050271
1061,0.062265
1062,0.022778
1063,-0.178171
1064,0.057719
1065,-0.095065
1066,-0.06763
1067,-0.095616
1068,0.062421
1069,-0.007374
1070,-0.070817
1071,-0.115976
1072,-0.081253
1073,-0.077869
1074,-0.181774
1075,-0.062417
1076,-0.174112
1077,0.065188
1078,-0.054237
1079,0.061135
1080,0.064633
1081,0.007379
1082,-0.115156
1083,-0.062229
1084,-0.040949
1085,-0.0553
1086,-0.114071
1087,0.070672
1088,0.058027
1089,-0.026821
1090,0.16276
1091,0.072404
1092,-0.145775
1093,0.082148
1094,-0.066781
1095,0.030783
1096,0.061512
1097,0.149362
1098,0.065951
1099,0.160743
1100,0.026455
1101,0.073397
1102,-0.053313
1103,0.040781
1104,-0.110652
1105,0.016487
1106,0.069142
1107,0.0484
1108,-0.067909
1109,0.079104
1110,0.01682
1111,-0.10922
1112,-0.057283
1113,-0.079818
1114,0.00761
1115,-0.095568
1116,0.070844
1117,-0.046656
1118,0.062498
1119,-0.11657
1120,-0.023493
1121,-0.168097
1122,-0.087596
1123,0.065308
1124,-0.081584
1125,-0.032312
1126,-0.05144
1127,-0.089044
1128,-0.065449
1129,0.067641
1130,-0.084437
1131,0.024349
1132,0.0418
1133,0.123055
1134,-0.092423
1135,0.075173
1136,0.056418
1137,-0.060261
1138,0.05445
1139,-0.127151
1140,-0.049683
1141,0.048267
1142,-0.070677
1143,-0.040146
1144,-0.11482
1145,0.026996
1146,0.061355
1147,0.019177
1148,0.04074
1149,0.099016
1150,0.076469
1151,0.088158
1152,-0.114333
1153,-0.081704
1154,0.064334
1155,-0.091464
1156,-0.020716
1157,0.011778
1158,-0.083842
1159,-0.000729
