mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
422.5174,20.3471,436.4761,9.9701,501.924,17.5238,2031.2576,531.6726
277.7327,3.3163,413.4317,17.1701,498.5144,1.1458,1825.9177,286.6993
353.3167,13.8065,410.7118,13.5121,449.3543,11.4021,2023.6527,558.4946
356.653,0.7961,479.4737,15.0551,518.0171,9.6395,1709.888,256.2236
399.1728,2.8381,421.554,36.607,479.7861,1.1748,2017.8599,579.892
373.2441,1.4931,473.0042,2.1245,542.9397,38.5315,1753.6553,281.7635
359.539,1.7773,464.8649,8.0896,576.4352,3.1096,1776.54,276.8113
329.1231,2.756,444.0649,5.6254,532.6308,11.1286,1812.9281,263.5023
419.6969,11.8719,439.1539,8.4231,487.4203,9.965,2023.2232,540.4299
367.6093,5.8213,442.5581,3.5025,482.805,17.5979,2024.0304,544.8653
335.7523,3.4969,433.4283,2.9511,561.4698,14.6205,1793.6375,324.4081
326.9945,5.4807,373.0545,5.4088,517.3091,3.527,1887.9471,407.4919
337.4756,0.5641,352.923,1.8621,448.5002,3.0907,2042.7379,477.3086
391.4394,1.2916,460.7558,7.9919,578.0276,58.612,1800.0843,312.2996
384.2906,3.1254,446.5486,0.3175,481.566,8.9464,2043.6431,533.8283
317.5789,2.0873,416.1711,1.1928,534.3305,8.3014,1830.2798,271.846
337.0087,1.8665,453.7354,1.5023,557.7693,34.8329,1790.6536,280.5693
417.2961,12.3785,431.6653,7.0225,485.3824,11.2974,2037.2857,533.5368
322.3485,1.3504,496.1685,18.8355,522.3673,5.0419,1764.6727,259.062
366.3429,3.0281,386.3581,4.8755,502.5873,2.054,2026.7158,489.1204
383.9267,2.8081,441.3509,1.099,588.5352,2.0456,1768.6586,256.8986
336.7771,0.3686,523.8369,14.7781,552.3856,16.2276,1719.4042,254.2227
343.6077,25.5337,368.9922,43.1003,450.3173,1.9129,2018.5376,449.898
408.0926,35.1832,446.6411,84.2758,503.1875,13.7634,2040.9417,704.0724
306.0023,10.2107,347.326,15.3734,477.8731,21.9744,1912.1448,361.1426
365.3846,9.8434,376.6015,22.4491,441.7964,2.981,2023.2414,450.85
417.9436,26.8278,438.0057,5.8317,497.8604,11.5174,2035.9765,550.7294
344.6071,5.633,409.8577,7.1751,439.2569,3.528,2018.8361,439.1341
216.1071,2.5513,394.5496,0.4909,422.8527,0.6565,1893.6209,315.2504
366.7958,0.7466,480.2877,14.8487,541.4706,17.4964,1715.3843,263.8446
232.0299,2.9471,424.2346,1.2114,448.2595,0.1031,1825.5233,204.8782
211.7822,3.829,379.1208,4.6266,453.644,1.7748,1901.3283,288.6222
