,Gibbs free energy/eV
612,-2.20813
613,-2.69225
614,-1.70656
615,-2.82804
616,-2.64958
617,-2.84857
618,-2.07026
619,-2.50186
620,-1.9656
621,-1.24151
622,-2.12025
623,-2.58884
624,-2.3009
625,-2.59306
626,-1.67639
627,-3.07444
628,-2.79446
629,-2.15159
630,-2.5
631,-2.45723
632,-1.56619
633,-2.94144
634,-2.59263
635,-2.34096
636,-1.14791
637,-1.64369
638,-0.919043
639,-2.18278
640,-1.0783
641,-2.13451
642,-2.13707
643,-1.75166
644,-2.22019
645,-2.5337
646,-2.52311
647,-2.20344
648,-1.12896
649,-1.81922
650,-2.70376
651,-1.28541
652,-2.5598
653,-2.51502
654,-0.866902
655,-1.20905
656,-2.2762
657,-2.77221
658,-0.744239
659,-3.00031
660,-1.88069
661,-2.70121
662,-2.07283
663,-1.26326
664,-2.49411
665,-1.84911
666,-2.57549
667,-2.14917
668,-2.16571
669,-2.66615
670,-2.7145
671,-2.47767
672,-2.40767
673,-1.34102
674,-2.32062
675,-2.93271
676,-2.81164
677,-2.79277
678,-2.224
679,-2.49452
680,-3.10864
681,-2.56288
682,-2.29471
683,-2.05482
684,-2.67475
685,-1.32473
686,-2.22574
687,-2.13689
688,-2.48338
689,-2.50108
690,-2.50359
691,-2.50826
692,-2.99009
693,-1.77415
694,-2.81888
695,-2.21135
696,-2.81853
697,-2.46382
698,-2.53533
699,-2.77472
700,-2.19014
701,-2.19287
702,-2.42369
703,-1.86155
704,-2.28486
705,-2.49441
706,-2.20672
707,-1.34914
708,-2.77415
709,-1.78552
710,-2.56129
711,-2.45411
712,-2.16886
713,-2.81226
714,-3.20541
715,-2.84298
716,-2.31466
717,-2.25704
718,-2.1116
719,-2.17579
720,-2.23963
721,-2.35564
722,-2.30745
723,-1.68895
724,-2.58465
725,-2.39332
726,-0.817993
727,-2.40011
728,-2.28444
729,-2.5214
730,-2.42596
731,-2.59967
732,-2.03564
733,-2.37423
734,-1.20857
735,-2.3757
736,-1.08379
737,-2.45364
738,-2.46024
739,-2.22329
740,-2.14611
741,-2.08889
742,-2.01841
743,-2.49741
744,-1.65557
745,-2.48
746,-2.68582
747,-2.55212
748,-2.46798
749,-1.55859
750,-2.09649
751,-2.78821
752,-2.52435
753,-2.85525
754,-2.41663
755,-2.34678
756,-3.18527
757,-2.47609
758,-2.3
759,-1.39166
760,-2.29281
761,-1.75633
762,-2.44897
763,-1.91122
764,-2.48639
765,-2.95169
766,-2.23521
767,-1.48582
768,-2.44701
769,-1.98391
770,-2.07297
771,-2.12504
772,-2.17807
773,-2.49891
774,-0.801121
775,-2.69199
776,-2.81936
777,-2.33715
778,-1.9648
779,-2.674
780,-1.70352
781,-2.07357
782,-2.32895
783,-2.35106
784,-2.20812
785,-1.35539
786,-0.91766
787,-2.67882
788,-2.27431
789,-2.26139
790,-2.88378
791,-0.876051
792,-1.48219
793,-1.60451
794,-2.56955
795,-1.20704
796,-2.63904
797,-1.95885
798,-2.82878
799,-2.52375
800,-3.0289
801,-2.45199
802,-2.918
803,-2.49159
804,-2.82309
805,-3.34935
806,-2.30209
807,-2.01182
808,-1.33855
809,-2.69884
810,-2.41084
811,-2.54718
812,-1.87403
813,-2.87492
814,-2.14249
815,-2.70383
816,-2.00577
817,-2.37644
818,-2.23452
819,-2.40174
820,-2.2321
821,-2.21518
822,-2.53431
823,-1.58431
824,-2.77361
825,-2.32947
826,-1.55455
827,-2.36737
828,-2.87313
829,-2.40098
830,-2.29032
831,-2.37147
832,-2.7394
833,-2.96042
834,-2.45742
835,-2.55027
836,-2.70967
837,-2.76139
838,-2.63549
839,-1.78584
840,-3.21228
841,-1.80939
842,-2.75605
843,-1.23167
844,-1.85684
845,-2.52417
846,-2.7775
847,-1.73435
848,-1.42809
849,-2.40825
850,-2.24874
851,-2.43784
852,-2.1327
853,-1.89228
854,-2.26605
855,-0.766147
856,-2.16146
857,-2.2982
858,-2.23496
859,-2.39757
860,-2.47324
861,-0.661033
862,-1.33204
863,-2.32155
864,-2.66577
865,-2.58012
866,-2.75182
867,-2.84569
868,-1.56931
869,-2.74207
870,-2.50586
871,-2.12732
872,-2.7065
873,-2.22278
874,-2.18725
875,-2.23446
876,-2.674
877,-2.66854
878,-2.59158
879,-2.44029
880,-1.23922
881,-2.70236
882,-2.72894
883,-2.91458
884,-1.84627
885,-2.8925
886,-2.90565
887,-2.97875
888,-1.42164
889,-2.47834
890,-2.79197
891,-1.85492
